,0
0,reviewer
1,mention
2,watch
3,1
4,Oz
5,episode
6,hook
7,.
8,right
9,","
10,exactly
11,happen
12,me.<br
13,/><br
14,/>the
15,thing
16,strike
17,brutality
18,unflinche
19,scene
20,violence
21,set
22,word
23,trust
24,faint
25,hearted
26,timid
27,pull
28,punch
29,regard
30,drug
31,sex
32,hardcore
33,classic
34,use
35,word.<br
36,/>it
37,call
38,oz
39,nickname
40,give
41,Oswald
42,Maximum
43,Security
44,State
45,Penitentary
46,focus
47,mainly
48,Emerald
49,City
50,experimental
51,section
52,prison
53,cell
54,glass
55,front
56,face
57,inward
58,privacy
59,high
60,agenda
61,Em
62,home
63,..
64,Aryans
65,Muslims
66,gangsta
67,Latinos
68,Christians
69,Italians
70,irish
71,....
72,scuffle
73,death
74,stare
75,dodgy
76,dealing
77,shady
78,agreement
79,far
80,away.<br
81,/>i
82,main
83,appeal
84,fact
85,go
86,show
87,dare
88,forget
89,pretty
90,picture
91,paint
92,mainstream
93,audience
94,charm
95,romance
96,...
97,mess
98,saw
99,nasty
100,surreal
101,ready
102,develop
103,taste
104,get
105,accustomed
106,level
107,graphic
108,injustice
109,(
110,crooked
111,guard
112,sell
113,nickel
114,inmate
115,kill
116,order
117,away
118,mannered
119,middle
120,class
121,turn
122,bitch
123,lack
124,street
125,skill
126,experience
127,)
128,comfortable
129,uncomfortable
130,view
131,that
132,touch
133,dark
134,wonderful
135,little
136,production
137,<
138,br
139,filming
140,technique
141,unassuming-
142,old
143,-
144,time
145,BBC
146,fashion
147,comforting
148,discomforte
149,sense
150,realism
151,entire
152,piece
153,actor
154,extremely
155,chosen-
156,Michael
157,Sheen
158,""""
159,polari
160,voice
161,pat
162,!
163,truly
164,seamless
165,editing
166,guide
167,reference
168,Williams
169,'
170,diary
171,entry
172,worth
173,watching
174,terrificly
175,write
176,perform
177,masterful
178,great
179,master
180,comedy
181,life
182,come
183,:
184,fantasy
185,traditional
186,dream
187,remain
188,solid
189,disappear
190,play
191,knowledge
192,particularly
193,concern
194,Orton
195,Halliwell
196,flat
197,mural
198,decorate
199,surface
200,terribly
201,think
202,way
203,spend
